"Spisová značka","Oblast práva","Věc","Forma zjištění","Datum vydání","Právní věty"," "
"967/2014/VOP","Řízení o odstranění staveb","řízení o odstranění stavby","Zpráva o šetření - § 18","28.07.2014","I. Po právní moci rozhodnutí o odstranění stavby může být stavba projednána a dodatečně povolena v novém řízení (dle § 101 písm. b) správního řádu), za předpokladu, že stavebník podá žádost o dodatečné povolení (§129 odst. 2 stavebního zákona) a prokáže splnění všech požadavků pro dodatečné povolení.   II. Vedení nového řízení o dodatečném povolení stavby je důvodem přerušení exekuce (§113 odst. 1 správního řádu) původního rozhodnutí o odstranění stavby.   ",""
"962/2014/VOP","Správní poplatky a řízení o nich","vymáhání správního poplatku","Zpráva o šetření - § 18","10.02.2015","Ačkoliv k podání žaloby pro vyřešení kompetenčního sporu (§ 133 odst. 4 správního řádu) je aktivně legitimován i ten, kdo by byl účastníkem předmětného řízení, jsou to primárně ministerstva, která mají povinnost spor tímto způsobem řešit, neboť je jejich povinností postupovat tak, aby nikomu nevznikaly zbytečné náklady, a dotčené osoby zatěžovat co možná nejméně (§ 6 odst. 2 správního řádu).",""
"962/2014/VOP","Správní poplatky a řízení o nich","vymáhání správního poplatku","Závěrečné stanovisko - § 19","10.11.2016","Nedojde-li k odstranění negativního kompetenčního konfliktu mezi ministerstvy nejpozději do 15 dnů od zahájení dohodovacího řízení, je jejich povinností bezodkladně podat žalobu k Nejvyššímu správnímu soudu. Byť i účastník řízení má právo podat žalobu, jsou to primárně ministerstva, která mají povinnost tak učinit  (§ 133 odst. 4 správního řádu). Jedině tímto způsobem mohou ministerstva dostát požadavkům na to, aby svoji činnost vykonávala v souladu se zásadami rychlosti a hospodárnosti, jako základními zásadami činnosti správních orgánů (§ 6 správního řádu).",""
"843/2014/VOP","Dávky pomoci v hmotné nouzi","doplatek na bydlení","Zpráva o šetření - § 18","16.04.2014","I. Příspěvek na živobytí je určen k zajištění výživy a základních potřeb v jednom měsíci, proto by mezi dvěma výplatami dávky neměla uplynout doba delší než jeden měsíc. Orgán pomoci v hmotné nouzi má předem stanovit pravidelný výplatní termín tak, aby klient mohl s finančními prostředky hospodařit.  II. Pro účely doplatku na bydlení se zohledňují náklady na bydlení v aktuálním měsíci, příjemce dávky není povinen dokládat úhradu těchto nákladů, neboť ty z povahy věci ještě nemusí být zaplaceny.   III. Orgán pomoci v hmotné nouzi může v případě pochybnosti zpětně kontrolovat, zda klient využil doplatek na bydlení k úhradě nákladů na bydlení. Podklady mohou být využity pro zahájení sociální práce s klientem, rozhodnutí o zvláštním příjemci dávky či o přímém zasílání doplatku na bydlení pronajímateli či poskytovali služeb.  ",""
"757/2014/VOP","Dávky nemocenského pojištění","nemocenské","Zpráva o šetření - § 17","10.11.2015","",""
"690/2014/VOP","Důchody","invalidní důchod","Zpráva o šetření - § 18","02.09.2015","",""
"679/2014/VOP","Důchody","invalidní důchod","Zpráva o šetření - § 18","15.09.2015","I. Obdrží-li orgán sociálního zabezpečení v důchodovém řízení čestné prohlášení svědků a žadatele o důchod nebo o úpravu důchodu o době pojištění podané dle § 85 odst. 5 zákona o organizaci a provádění sociálního zabezpečení, pak nejdříve zkoumá splnění formálních náležitostí čestného prohlášení, a poté (dojde-li k závěru, že náležitosti jsou splněny) zjišťuje věrohodnost svědeckých prohlášení.  II. Orgán sociálního zabezpečení není oprávněn vázat přípustnost konkrétního čestného prohlášení dle § 85 odst. 5 zákona o organizaci a provádění sociálního zabezpečení na to, zda bylo podáno na úředním tiskopisu či nikoliv.  III. Čestné prohlášení dle § 85 odst. 5 zákona o organizaci a provádění sociálního zabezpečení mohou poskytnout i jiné osoby než bývalí spolupracovníci.",""
"679/2014/VOP","Důchody","invalidní důchod","Závěrečné stanovisko - § 19","19.01.2016","I. Obdrží-li orgán sociálního zabezpečení v důchodovém řízení čestné prohlášení svědků a žadatele o důchod nebo o úpravu důchodu o době pojištění podané dle § 85 odst. 5 zákona o organizaci a provádění sociálního zabezpečení, pak nejdříve zkoumá splnění formálních náležitostí čestného prohlášení, a poté (dojde-li k závěru, že náležitosti jsou splněny) zjišťuje věrohodnost svědeckých prohlášení.  II. Orgán sociálního zabezpečení není oprávněn vázat přípustnost konkrétního čestného prohlášení dle § 85 odst. 5 zákona o organizaci a provádění sociálního zabezpečení na to, zda bylo podáno na úředním tiskopisu či nikoliv.  III. Čestné prohlášení dle § 85 odst. 5 zákona o organizaci a provádění sociálního zabezpečení mohou poskytnout i jiné osoby než bývalí spolupracovníci.",""
"635/2014/VOP","Pojistné na zdravotní pojištění a činnost zdravotních pojišťoven","dluh na pojistném / penále","Závěrečné stanovisko - § 19","25.01.2016","I. Zdravotní pojišťovna je oprávněna vymáhat nedoplatky na pojistném na zdravotní pojištění sama nařízením daňové exekuce. Využije-li právního zastoupení advokátem k formalizovanému rutinnímu úkonu spočívajícímu v podání návrhu na nařízení exekuce (exekučnímu návrhu) k soudnímu exekutorovi, porušuje tím povinnost zakotvenou ustanovením § 5 odst. 3 a § 175 odst. 2 daňového řádu.  II. Náklady zdravotní pojišťovny na právní zastoupení advokátem k podání návrhu na nařízení exekuce (exekučnímu návrhu) k vymožení nedoplatku na pojistném na veřejné zdravotní pojištění nelze považovat za náklady účelně vynaložené k vymáhání nároku ve smyslu ustanovení § 87 odst. 2 exekučního řádu.  ",""
"635/2014/VOP","Pojistné na zdravotní pojištění a činnost zdravotních pojišťoven","dluh na pojistném / penále","Zpráva o šetření - § 18","19.01.2015","I. Zdravotní pojišťovna je oprávněna vymáhat nedoplatky na pojistném na zdravotní pojištění sama nařízením daňové exekuce. Využije-li právního zastoupení advokátem k formalizovanému rutinnímu úkonu spočívajícímu v podání návrhu na nařízení exekuce (exekučnímu návrhu) k soudnímu exekutorovi, porušuje tím povinnost zakotvenou ustanovením § 5 odst. 3 a § 175 odst. 2 daňového řádu.  II. Náklady zdravotní pojišťovny na právní zastoupení advokátem k podání návrhu na nařízení exekuce (exekučnímu návrhu) k vymožení nedoplatku na pojistném na veřejné zdravotní pojištění nelze považovat za náklady účelně vynaložené k vymáhání nároku ve smyslu ustanovení § 87 odst. 2 exekučního řádu.  ",""
"573/2014/VOP","Správa pozemních komunikací","ostatní","Odložení","10.04.2014","Umísťování sběrných nádob na komunální odpad na místních komunikacích  a jejich součástech (chodník, parkoviště) není zvláštním užíváním místní komunikace (§ 25 odst. 6 písm. c/ bod 2. zákona o pozemních komunikacích), nýbrž obecným užíváním pozemní komunikace. ",""
"568/2014/VOP","Správa pozemních komunikací","omezení přístupu na komunikaci","Zpráva o šetření - § 18","13.05.2014","I.Nezrušitelnost územního souhlasu na stavbu oplocení vydaného obecním stavebním úřadem neovlivňuje kompetence silničního správního úřadu. Ten si může v rámci výkonu své působnosti nezávisle posoudit, zda se dané oplocení nachází na veřejné pozemní komunikaci.  II.Pokud silniční správní úřad dospěje k závěru, že oplocení zasahuje do pozemní komunikace, nebo ji dokonce zcela uzavírá, může bez ohledu na nezrušený územní souhlas nařídit odstranění pevné překážky z pozemní komunikace (§ 29 odst. 3 zákona o pozemních komunikacích).  ",""
"568/2014/VOP","Správa pozemních komunikací","omezení přístupu na komunikaci","Zpráva o šetření - § 18","13.05.2014","Pokud silniční správní úřad dospěje k závěru, že oplocení zasahuje do pozemní komunikace, nebo ji dokonce zcela uzavírá, může bez ohledu na nezrušený a dříve vydaný územní souhlas obecného stavebního úřadu nařídit odstranění pevné překážky z pozemní komunikace (§ 29 odst. 3 zákona o pozemních komunikacích).    ",""
"566/2014/VOP","Přestupky proti veřejnému pořádku, občanskému soužití a majetku","ostatní, poškozený / oznamovatel ","Zpráva o šetření - § 18","10.06.2014","I. Správní orgán by měl při posuzování důvodnosti omluvy účastníka řízení či jeho zástupce z ústního jednání (§74 odst. 1 zákona o přestupcích) vycházet z konkrétních podkladů, a to v případě omluvy z důvodu dovolené.   II. Při souběhu ústního jednání a jiných pracovních závazků advokáta účastníka řízení by měl vzít do úvahy časovou posloupnost převzetí zastupování v jednotlivých věcech a předvolání k ústnímu jednání (hlavnímu líčení). V takovém případě by z omluvy advokáta mělo být zřejmé, že nemohl využít substituce jiným advokátem (§ 26 zákona č. 26/1996 Sb., o advokacii). V případě opakované omluvy by měl správní orgán zvážit, zdali se nejedná o obstrukční jednání s cílem zmařit projednání přestupku v prekluzivní lhůtě.",""
"566/2014/VOP","Přestupky proti veřejnému pořádku, občanskému soužití a majetku","ostatní","Závěrečné stanovisko - § 19","14.10.2014","",""
"541/2014/VOP","Veřejné opatrovnictví","rozhodnutí v zastoupení opatrovaného","Jiné","23.09.2015","I. Obsahem řádného výkonu povinností opatrovníka je postupovat v zájmu opatrovaného. Aby opatrovník mohl jednat v zájmu opatrovaného, musí znát také jeho potřeby a schopnosti a poměry, ve kterých žije.  II. Pokud není v silách opatrovníka posoudit situaci opatrovaného a navrhnout adekvátní řešení a kroky, které k němu mohou vést, je namístě, aby se opatrovník obrátil na příslušný obecní úřad obce s rozšířenou působností. V rámci výkonu přenesené působnosti obec vykonává sociální práci, která zahrnuje, mimo jiné, vyhledání osob v nepříznivé sociální situaci (případně osob ohrožených) a individuální plánování směřující k jejímu řešení.  III. Osoba se zdravotním postižením (opatrovaný) má právo na život v přirozeném prostředí. Opatrovník musí usilovat o to, aby opatrovaný měl možnost žít v maximální míře nezávislým způsobem života a byl začleněn do společnosti. K tomu by měl využít všech dostupných služeb poskytovaných v domácím prostředí nebo terénních služeb. K volbě využít služeb pobytového zařízení, což ze své podstaty představuje již určité omezení svobody člověka a jeho nezávislého způsobu života, by mělo být přistoupeno jen tehdy, když je zjevné, že opatrovaný není schopen žít s pomocí a podporou poskytovanými v méně omezujícím prostředí. Opatrovník má dbát na to, aby byl opatrovaný začleněn do společnosti, a k tomu má využít vhodných podpůrných opatření.  IV. V zařízeních, která poskytují sociální služby bez náležitého oprávnění (registrace), je velké riziko špatného zacházení. Veřejný opatrovník proto nesmí uzavřít smlouvu o pobytu opatrovaného v takovém typu zařízení a je povinen vyhledat vhodné registrované zařízení sociálních služeb.  V. U člověka, který žije v instituci, by měl opatrovník představovat záruku ochrany jeho práv. Opatrovník má být aktivní ve své roli dle zákona o sociálních službách (v rámci individuálního plánování) a pravidelně se s opatrovaným stýkat, a soustavně tak sledovat kvalitu poskytované péče.",""
"540/2014/VOP","Správa na úseku zaměstnanosti","rekvalifikační kurzy","Zpráva o šetření - § 18","23.06.2015","I. Při realizaci nástrojů aktivní politiky zaměstnanosti je úřad práce povinen postupovat nejen dle zákona o zaměstnanosti, ale také naplňovat tzv. principy dobré správy. Jen takový přístup může být předpokladem úspěšné podpory uchazečů o zaměstnání vedoucí ke zlepšení jejich pozic na trhu práce a posílení šancí na získání pracovního uplatnění.  II. Úřad práce je povinen zájemce o rekvalifikaci informovat srozumitelně o podmínkách rekvalifikace, aby zamezil neadekvátnímu očekávání účastníka rekvalifikace. Požadavek na jednoznačné formulace podmínek rekvalifikace platí i pro dohody o rekvalifikaci a dohody o provedení rekvalifikace.   III. Povinností úřadu práce je kontrolovat u rekvalifikačního zařízení plnění podmínek sjednaných v dohodě o provedení rekvalifikace včetně souladu vydaného osvědčení s reálným průběhem rekvalifikace.   ",""
"502/2014/VOP","Péče o zdraví","vyřizování stížnosti proti postupu poskytovatele zdravotních služeb dozorovým orgánem","Zpráva o šetření - § 18","08.12.2016","Krajský úřad by měl pro agendu vyřizování stížností proti postupu poskytovatelů zdravotních služeb systematicky vytvářet takové podmínky a aktivovat podpůrné mechanismy, aby dostál splnění povinnosti ustavit nezávislého odborníka či nezávislou odbornou komisi bez zbytečného odkladu, kterou stanoví zákon o zdravotních službách. ",""
"473/2014/VOP","Územní, stavební řízení, užívání stavby","údržba stavby","Zpráva o šetření - § 18","25.06.2014","Výměna okapů na střeše stavby rodinného domu, stejně jako instalace dosud chybějících okapů, představuje udržovací práce (§ 3 odst. 4 stavebního zákona), které nevyžadují žádné opatření ani rozhodnutí stavebního úřadu, pokud se na ně nevztahuje žádný z důvodů k projednání v režimu ohlášení nebo stavebního řízení, uvedených v ustanovení § 103 odst. 1 písm. c) stavebního zákona.",""
"470/2014/VOP","Územní, stavební řízení, užívání stavby","územní řízení o změně využití území / změně vlivu užívání stavby na území / dělení nebo scelování pozemků / ochranném pásmu","Závěrečné stanovisko - § 19","03.10.2016","I. Při posuzování povoleného způsobu využití území je třeba vycházet především z výroku platného územního rozhodnutí o změně využití území (§ 80 stavebního zákona). Pokud není výrok územního rozhodnutí dostatečně určitý, musí stavební úřad v souladu se zásadou materiální pravdy vzít v potaz též další důkazní prostředky, zejména listiny, které jsou součástí spisu. Jedině tak lze zjistit stav věci bez důvodných pochybností.  II. Stavební úřady musí  při posuzování specifického způsobu využití pozemku a stanovení konkrétních podmínek něj zajistit ochranu veřejných zájmů. U manipulační plochy se stavební úřad musí zabývat i otázkou její velikosti, provozovaných činností, používaných materiálů či látek, a dalšími okolnostmi, které mohou mít na využití území vliv či jiné (zejména negativní) dopady na okolí.",""
"470/2014/VOP","Územní, stavební řízení, užívání stavby","územní řízení o změně využití území / změně vlivu užívání stavby na území / dělení nebo scelování pozemků / ochranném pásmu","Zpráva o šetření - § 18","31.03.2015","",""
"469/2014/VOP","Přestupky proti veřejnému pořádku, občanskému soužití a majetku","ostatní","Zpráva o šetření - § 17","07.07.2014","Vůle k podání trestního oznámení deklarovaná v žádosti o nahlédnutí do přestupkového spisu nepředstavuje právní zájem na nahlédnutí ve smyslu ustanovení § 38 odst. 2 správního řádu.",""
"459/2014/VOP","Sociální služby","inspekce poskytování sociálních služeb","Zpráva o šetření - § 18","22.07.2014","I. V rozhodnutí o částečném vyhovění námitkám musí být příslušným orgánem jasně vymezeno, čemu bylo vyhověno a jaké to má důsledky na kontrolní zjištění.   II. Stanoviska Rady pro inspekce kvality sociálních služeb při PT RHSD pro sociální otázky nejsou pro kontrolní orgán závazná.   III. Inspekční orgán má posuzovat aktuální stav poskytování sociální služby tak, jak je shledá při kontrole. Minulými pochybeními se inspekční orgán zabývá pouze pokud: a) důsledky minulého pochybení trvají i v současnosti a zároveň je možná a žádoucí náprava, ke které poskytovatel nepřistoupil, b) jedná se o závažné pochybení, které naplňuje skutkovou podstatu některého správního deliktu a zároveň ještě nebyla překročena prekluzivní lhůta.  IV. Snížení hodnocení naplňování jednotlivých standardů u poskytovatele služby musí být podloženo relevantními důvody.   ",""
"459/2014/VOP","Sociální služby","inspekce poskytování sociálních služeb","Závěrečné stanovisko - § 19","19.12.2014","I. V rozhodnutí o částečném vyhovění námitkám musí být příslušným orgánem jasně vymezeno, čemu bylo vyhověno a jaké to má důsledky na kontrolní zjištění.   II. Inspekční orgán má posuzovat aktuální stav poskytování sociální služby tak, jak je shledá při kontrole. Minulými pochybeními se inspekční orgán zabývá pouze pokud: a) důsledky minulého pochybení trvají i v současnosti a zároveň je možná a žádoucí náprava, ke které poskytovatel nepřistoupil, b) jedná se o závažné pochybení, které naplňuje skutkovou podstatu některého správního deliktu a zároveň ještě nebyla překročena prekluzivní lhůta.",""
"408/2014/VOP","Diskriminace - práce a zaměstnání","ostatní","Odložení","16.04.2015","Přípustnou formou rozdílného zacházení (§ 7 odst. 4 antidiskriminačního zákona) je zavedení věkové hranice pro čerpání dotace na zahájení činnosti mladého zemědělce stanovená přímo použitelným předpisem Evropské unie (nařízení 1698/2005, nařízení 1305/2013).",""
"347/2014/VOP","Územní, stavební řízení, užívání stavby","stavební dozor","Zpráva o šetření - § 18","18.06.2014","I. Kontrolní prohlídku stavby nečiní stavební úřad na žádost osob, ale ve veřejném zájmu (§ 132 odst. 3 stavebního zákona).    II. Stavební úřad není povinen zaslat osobám zúčastněným kontrolní prohlídky protokol o jejím průběhu.  Účastník řízení (resp. osoba přizvaná ke kontrolní prohlídce stavby) má možnost získat protokol o průběhu kontrolní prohlídky stavby uplatněním procesního práva nahlížení do spisu (§ 38 správního řádu  ve spojení s ustanovením § 168 odst. 2 stavebního zákona).",""
"210/2014/VOP","Poměry v zařízení pro děti","poměry ve výchovném ústavu","Zpráva o šetření - § 18","12.12.2014","I. Zařízení nerespektuje právo dítěte s nařízenou ústavní výchovou na udržování kontaktu s blízkými osobami (§ 20 odst. 1 písm. n/ zákona č. 109/2002 Sb.), zakáže-li návštěvu blízké osoby opatřením ve výchově, ve kterém nadto uvede, že se jedná o osobu blízkou. Vzhledem k dynamice mezilidských vztahů dospívajících musí zařízení při dovozování, zda se v konkrétním případě jedná o osobu blízkou, vycházet z informací, které dospívající poskytne, a v pochybnostech se obrátit na rodinné příslušníky pro doplnění informací, popř. zkoumat existenci vazby tím, zda a v jak intenzivním kontaktu spolu jsou.  II. Zařízení překročí svá oprávnění, která má v souvislosti s převzetím finanční hotovosti dítěte převyšující výši kapesného (§ 23 odst. 1 písm. g/ zákona č. 109/2002 Sb.), jestliže podmiňuje uvolnění takových finančních prostředků dítěti účelem jejich využití. Výchovné působení pracovníků zařízení na dítě není nikterak omezeno, musí však zůstat právě v této rovině, resp. nesmí mít podobu rozhodování o poskytnutí či neposkytnutí uschovaných peněz nezletilému.  ",""
"173/2014/VOP","Dávky pomoci v hmotné nouzi","příspěvek na živobytí","Zpráva o šetření - § 18","07.03.2014","Zaměstnanci úřadu práce jsou povinni převzít i neúplnou žádost o sociální dávku a nad rámec obecné poučovací povinnosti poskytnout osobě, která se na úřad práce dostaví, základní sociální poradenství vedoucí k řešení hmotné nouze (§ 64 odst. 1 písm. b/ zákona o pomoci v hmotné nouzi), tj. mimo jiné informace o existenci dalších sociálních dávek reagujících na sociální událost klienta a podmínkách pro jejich přiznání. I před samotným zahájením řízení o dávkách pomoci v hmotné nouzi by měl zaměstnanec úřadu práce v rámci dobré správy sepsat s klientem stručný písemný záznam o poskytnutém poradenství.",""
"155/2014/VOP","Diskriminace - bydlení","obecní bydlení","Zpráva o nezjištění diskriminace - § 21b","02.07.2014","I. Pokud obec podmiňuje přidělení obecního bytu novému nájemci povinností uhradit dluh předchozího nájemce, lze takový požadavek považovat za nepřiměřený a v rozporu s ustanovením § 35 odst. 2 zákona o obcích.  II. Postup obce spočívající ve faktickém přesunu povinnosti vymáhat dlužné nájemné vůči bývalému nájemci na nájemce budoucího lze shledat v rozporu s dobrými mravy (§ 547 občanského zákoníku z roku 2012).",""
"139/2014/VOP","Správa pozemních komunikací","omezení přístupu na komunikaci","Zpráva o šetření - § 18","09.02.2015","I. Obecné užívání pozemních komunikací je až na výjimky stanovené zákonem bezplatné (§ 19 odst. 1 zákona o pozemních komunikacích). Toto pravidlo je třeba vztáhnout též na úřední povolenky k vjezdu na komunikace, na které je jinak vjezd zakázán dopravním značením. Jejich vydávání nelze zpoplatňovat.  II. Povolení k vjezdu na komunikace, na něž je vjezd zakázán dopravním značením, smí být vydáváno jen výjimečně a podloženo relevantními důvody.",""
"138/2014/VOP","Dozor nad peněžními ústavy, cenová regulace a ostatní působnost Ministerstva financí","dozor nad peněžními ústavy","Zpráva o šetření - § 18","11.08.2014","I. Za současného znění § 7 odst. 1 zákona o stavebním spoření a rovněž s ohledem na legitimní očekávání spotřebitelů, ministerstvo financí je povinno při schvalování všeobecných obchodních podmínek stavebních spořitelem posuzovat i jejich soulad s kogentními ustanoveními platných a účinných právních předpisů, zejména směřujících k ochraně spotřebitele.  II. Ustanovení všeobecných obchodních podmínek, která umožňují stavební spořitelně vypovědět smlouvu o stavebním spoření ve ‚vázací‘ době (§ 12 odst. 2 zákona o stavebním spoření) bez důvodu hodného zvláštního zřetele, je absolutně neplatné, jestliže následkem výpovědi by účastník stavebního spoření ztratil nárok na výplatu státního příspěvku (§ 12 odst. 3 zákona o stavebním spoření).    ",""
"138/2014/VOP","Dozor nad peněžními ústavy, cenová regulace a ostatní působnost Ministerstva financí","dozor nad peněžními ústavy","Závěrečné stanovisko - § 19","26.11.2014","I. Za současného znění § 7 odst. 1 zákona o stavebním spoření a rovněž s ohledem na legitimní očekávání spotřebitelů je ministerstvo financí povinno při schvalování všeobecných obchodních podmínek stavebních spořitelem posuzovat i jejich soulad s kogentními ustanoveními platných a účinných právních předpisů, zejména směřujících k ochraně spotřebitele.  II. Ustanovení všeobecných obchodních podmínek, která umožňují stavební spořitelně vypovědět smlouvu o stavebním spoření ve ‚vázací‘ době (§ 12 odst. 2 zákona o stavebním spoření) bez důvodu hodného zvláštního zřetele, je absolutně neplatné, jestliže následkem výpovědi by účastník stavebního spoření ztratil nárok na výplatu státního příspěvku (§ 12 odst. 3 zákona o stavebním spoření).    ",""
"138/2014/VOP","Dozor nad peněžními ústavy, cenová regulace a ostatní působnost Ministerstva financí","dozor nad peněžními ústavy","Sankce - § 20","08.04.2015","I. Za současného znění § 7 odst. 1 zákona o stavebním spoření a rovněž s ohledem na legitimní očekávání spotřebitelů je Ministerstvo financí povinno při schvalování všeobecných obchodních podmínek stavebních spořitelem posuzovat i jejich soulad s kogentními ustanoveními platných a účinných právních předpisů, zejména směřujících k ochraně spotřebitele.  II. Ustanovení všeobecných obchodních podmínek, která umožňují stavební spořitelně vypovědět smlouvu o stavebním spoření ve ‚vázací‘ době (§ 12 odst. 2 zákona o stavebním spoření) bez důvodu hodného zvláštního zřetele, je absolutně neplatné, jestliže následkem výpovědi by účastník stavebního spoření ztratil nárok na výplatu státního příspěvku (§ 12 odst. 3 zákona o stavebním spoření).  ",""
"110/2014/VOP","Služební poměry","ostatní","Zpráva o šetření - § 18","30.03.2015","I. V rozkazu o vyslání příslušníka na služební cestu je třeba vymezit konkrétní úkoly, které má příslušník na služební cestě plnit, aby mohl objektivně posoudit, jestli na služební cestě bude plnit úkoly vyplývající z jeho služebního místa (§ 37 odst. 1 zákona o služebním poměru), a aby mohl případně vedoucího příslušníka upozornit na rozpor vydaného rozkazu s právními předpisy (§ 46 odst. 2 zákona o služebním poměru).  II. Není-li to na újmu plnění služebních úkolů, měl by být příslušník v rozkaze seznámen též s cíli služební cesty, aby jim mohl plnění služebních úkolů přizpůsobit.",""
"98/2014/VOP","Právo na informace","přístup k informacím dle 106/1999","Zpráva o šetření - § 18","25.08.2015","",""
"96/2014/VOP","Služební poměry","ostatní","Zpráva o šetření - § 17","02.02.2015","",""
"76/2014/DIS","Diskriminace - jiné","komunikace s mezinárodními subjekty","Stanovisko (diskriminace) - § 21b","13.02.2018","",""
"46/2014/DIS","Diskriminace - výzkum","výzkum","Výzkumná zpráva (diskriminace) - § 21b","27.02.2015","I. Reprezentativní dotazníkové šetření na vzorku 2 079 respondentů ukázalo, že diskriminaci nebo obtěžování vůči své osobě pocítilo v průběhu uplynulých pěti let až 11 % dotázaných obyvatel České republiky starších 18 let.  II. Lidé se nejvíce cítí diskriminováni při hledání placené práce nebo výkonu práce, a to zejména z důvodu vysokého  věku a pohlaví.   III. Drtivá většina respondentů, která měla osobní zkušenost s diskriminací, rezignovala a nikde si nestěžovala. Neoznamování diskriminace dosahuje v ČR téměř 90 % případů.  IV. Hlavní bariérou oznámení diskriminace je nedůvěra obětí, že by příslušné instituce mohly případ vyřešit. Oběti diskriminace  odrazuje nedostatek důkazů a informací, stud, nedůvěra ve vlastní schopnosti či strach z odvety.  V. Soudci okresních a krajských soudů, inspektoři správních orgánů a zástupci neziskových organizací považují seniory, zaměstnance velkých soukromých firem, osoby s nízkým vzděláním a příslušníky různých menšin za osoby, které jsou nejvíce ohroženy neoznamováním diskriminace.  VI. Od účinnosti antidiskriminačního zákona (tj., od 1. září 2009) bylo podáno v průměru 6 žalob s námitkou diskriminace ročně.   VII. Úspěšnost žalob potenciálních obětí diskriminace není zatím příliš vysoká. Z 22 žalob, ve kterých žalobce požadoval náhradu nemajetkové újmy v penězích, vyhověl soud pouze v jednom případě, a přiznal náhradu nemajetkové újmy ve výši 51 000 Kč.  VIII. Šance, že bude domnělé oběti diskriminace přiznána náhrada nemajetkové újmy v penězích, je výrazně nižší, než že bude muset zaplatit náhradu nákladů řízení protistrany.  IX. Na správní orgány se s námitkou diskriminace obracejí lidé častěji než na soudy. Správní orgány zejména postihují takové  diskriminační jednání, které je dobře podloženo písemnými důkazy či zjištěním při výkonu kontroly. Správním orgánům se však nedaří postihovat diskriminaci, o níž existuje jen omezené množství důkazů. Rovněž nízké pokuty nemají na diskriminující subjekty odstrašující účinek.",""
"44/2014/DIS","Diskriminace - jiné","spolupráce s orgány státní správy","Stanovisko (diskriminace) - § 21b","10.09.2014","I. Česká školní inspekce je povinna provádět kontrolu odborných, zejména speciálně pedagogických a psychologických postupů a závěrů pracovníků školských pedagogických zařízení, a to i pro případ kontroly na základě podnětu či stížnosti.  II. Česká školní inspekce je proto povinna zajistit takové personální složení svých pracovníků (přizvaných osob), aby zajistila řádnou kontrolu všech odborných aspektů postupu pracovníků školských poradenských zařízení.  ",""
"43/2014/DIS","Diskriminace - jiné","spolupráce s nevládními neziskovými organizacemi a soukromým sektorem","Stanovisko (diskriminace) - § 21b","05.02.2015","",""
"29/2014/DIS","Diskriminace - jiné","připomínky / komentáře ochránce","Stanovisko (diskriminace) - § 21b","15.09.2014","",""
"28/2014/NZ","Detence - zařízení sociálních služeb","zařízení poskytující služby bez oprávnění","Souhrnná zpráva z návštěv zařízení - § 21a","04.03.2015","",""
"27/2014/DIS","Přestupky proti veřejnému pořádku, občanskému soužití a majetku","ostatní","Odložení","05.02.2015","",""
"26/2014/NZ","Detence - doprovody cizinců","sledování vyhoštění","Zpráva ze sledování vyhoštění - § 21a","04.05.2015","",""
"26/2014/DIS","Diskriminace - jiné","komunikace s mezinárodními subjekty","Stanovisko (diskriminace) - § 21b","11.07.2014","",""
"24/2014/NZ","Detence - provádění návštěv","zařízení pro zajištění cizinců","Zpráva z návštěvy zařízení - §21a","18.02.2015","",""
"24/2014/NZ","Detence - provádění návštěv","zařízení pro zajištění cizinců","Sankce (návštěva zařízení, sledování vyhoštění)- § 20","27.08.2015","",""
"22/2014/NZ","Detence - zdravotnická zařízení","psychiatrické nemocnice","Jiné","24.03.2015","",""
"21/2014/SZD","Ostatní působnost na úseku staveb a Ministerstva pro místní rozvoj","ostatní","Sankce - § 20","09.08.2016","",""
"21/2014/NZ","Detence - zařízení sociálních služeb","ostatní","Zpráva z návštěvy zařízení - §21a","17.02.2015","",""
"21/2014/NZ","Detence - zařízení sociálních služeb","ostatní","Sankce (návštěva zařízení, sledování vyhoštění)- § 20","25.02.2015","",""
"20/2014/SZD","Pobyt cizinců","ostatní","Jiné","21.07.2014","",""
"19/2014/SZD","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Vyjádření pro Ústavní soud","19.08.2014","",""
